channel,units,gross_total,net_total
Youtube Official Channel,10593247,1173418.7799,880064.084925
Youtube ArtTrack,3190942,634230.5701683711,475672.9276262785
Spotify,8595944,718779.2419847542,539084.4314885659
Youtube Audio Content ID,5556164,50935.17147137679,38201.37860353259
Snapchat,793029,18741.81003280771,14056.35752460578
Youtube Shorts,7651916,2094.8312446801433,1571.123433510109
Youtube Music Video Claims,46681,1586.6161171763815,1189.9620878822873
IPRS,225,124751.5970291099,93563.69777183242
Apple Music,1319294,428717.8246558001,321538.36849185
Deezer,5,0.93324318052,0.69993238539
Anghami,1,0.081977994,0.0614834955
Iheart,376,256.63785279999996,192.47838960000007
Netease,1,0.019935138656841975,0.014951353992631483
Soundcloud,296235,79861.86963858553,59896.40222893915
TikTok,8016,3530.2412252863087,2647.6809189647315
Audiomack,13815,947.4639715499999,710.5979786624999
Netease Cloud Music,1,0.02000596242967483,0.015004471822256123
JioSaavn,61781,3513.1192068562623,2634.8394051421965
Gaana,5588,904.8923770160023,678.669282762002
Soundtrack Your Brand,1,0.0475965243,0.035697393225
Facebook UGC Claims,86598545,12264.292601879497,9198.219451409626
Facebook and Instagram,716887,24465.048890403425,18348.786667802564
